plataforma;jogo;url;nota;
Xbox One;Red Dead Redemption 2;https://www.metacritic.com/game/xbox-one/red-dead-redemption-2;97;
Xbox One;Grand Theft Auto V;https://www.metacritic.com/game/xbox-one/grand-theft-auto-v;97;
Xbox One;Metal Gear Solid V: The Phantom Pain;https://www.metacritic.com/game/xbox-one/metal-gear-solid-v-the-phantom-pain;95;
Xbox One;Celeste;https://www.metacritic.com/game/xbox-one/celeste;94;
Xbox One;The Witcher 3: Wild Hunt - Blood and Wine;https://www.metacritic.com/game/xbox-one/the-witcher-3-wild-hunt---blood-and-wine;94;
Xbox One;Resident Evil 2;https://www.metacritic.com/game/xbox-one/resident-evil-2;93;
Xbox One;INSIDE;https://www.metacritic.com/game/xbox-one/inside;93;
Xbox One;Forza Horizon 4;https://www.metacritic.com/game/xbox-one/forza-horizon-4;92;
Xbox One;Divinity: Original Sin II - Definitive Edition;https://www.metacritic.com/game/xbox-one/divinity-original-sin-ii---definitive-edition;92;
Xbox One;What Remains of Edith Finch;https://www.metacritic.com/game/xbox-one/what-remains-of-edith-finch;92;
Xbox One;The Swapper;https://www.metacritic.com/game/xbox-one/the-swapper;92;
Xbox One;Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition;https://www.metacritic.com/game/xbox-one/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition;92;
Xbox One;The Witcher 3: Wild Hunt;https://www.metacritic.com/game/xbox-one/the-witcher-3-wild-hunt;91;
Xbox One;Rayman Legends;https://www.metacritic.com/game/xbox-one/rayman-legends;91;
Xbox One;Overwatch;https://www.metacritic.com/game/xbox-one/overwatch;91;
Xbox One;Sekiro: Shadows Die Twice;https://www.metacritic.com/game/xbox-one/sekiro-shadows-die-twice;91;
Xbox One;Forza Horizon 3;https://www.metacritic.com/game/xbox-one/forza-horizon-3;91;
Xbox One;Dead Cells;https://www.metacritic.com/game/xbox-one/dead-cells;91;
Xbox One;F1 2020;https://www.metacritic.com/game/xbox-one/f1-2020;91;
Xbox One;Hollow Knight: Voidheart Edition;https://www.metacritic.com/game/xbox-one/hollow-knight-voidheart-edition;90;
Xbox One;Monster Hunter: World - Iceborne;https://www.metacritic.com/game/xbox-one/monster-hunter-world---iceborne;90;
Xbox One;NieR: Automata - Become as Gods Edition;https://www.metacritic.com/game/xbox-one/nier-automata---become-as-gods-edition;90;
Xbox One;The Witcher 3: Wild Hunt - Hearts of Stone;https://www.metacritic.com/game/xbox-one/the-witcher-3-wild-hunt---hearts-of-stone;90;
Xbox One;Monster Hunter: World;https://www.metacritic.com/game/xbox-one/monster-hunter-world;90;
Xbox One;Pinball FX3: Universal Classics Pinball;https://www.metacritic.com/game/xbox-one/pinball-fx3-universal-classics-pinball;90;
Xbox One;Ori and the Will of the Wisps;https://www.metacritic.com/game/xbox-one/ori-and-the-will-of-the-wisps;90;
Xbox One;NBA 2K17;https://www.metacritic.com/game/xbox-one/nba-2k17;90;
Xbox One;Curse of the Dead Gods;https://www.metacritic.com/game/xbox-one/curse-of-the-dead-gods;90;
Xbox One;Yakuza 0;https://www.metacritic.com/game/xbox-one/yakuza-0;90;
Xbox One;Call of Duty: Modern Warfare Remastered;https://www.metacritic.com/game/xbox-one/call-of-duty-modern-warfare-remastered;89;
Xbox One;Yakuza: Like a Dragon;https://www.metacritic.com/game/xbox-one/yakuza-like-a-dragon;89;
Xbox One;F1 2019;https://www.metacritic.com/game/xbox-one/f1-2019;89;
Xbox One;Dark Souls II: Scholar of the First Sin;https://www.metacritic.com/game/xbox-one/dark-souls-ii-scholar-of-the-first-sin;89;
Xbox One;Zen Pinball 2: Bethesda Pinball;https://www.metacritic.com/game/xbox-one/zen-pinball-2-bethesda-pinball;89;
Xbox One;Stardew Valley;https://www.metacritic.com/game/xbox-one/stardew-valley;89;
Xbox One;Destiny: The Taken King;https://www.metacritic.com/game/xbox-one/destiny-the-taken-king;89;
Xbox One;Injustice 2;https://www.metacritic.com/game/xbox-one/injustice-2;89;
Xbox One;Sonic Mania Plus;https://www.metacritic.com/game/xbox-one/sonic-mania-plus;89;
Xbox One;Fallout 4;https://www.metacritic.com/game/xbox-one/fallout-4;88;
Xbox One;N++;https://www.metacritic.com/game/xbox-one/n++;88;
Xbox One;Wolfenstein II: The New Colossus;https://www.metacritic.com/game/xbox-one/wolfenstein-ii-the-new-colossus;88;
Xbox One;Divinity: Original Sin Enhanced Edition;https://www.metacritic.com/game/xbox-one/divinity-original-sin-enhanced-edition;88;
Xbox One;FIFA 14;https://www.metacritic.com/game/xbox-one/fifa-14;88;
Xbox One;Ori and the Blind Forest: Definitive Edition;https://www.metacritic.com/game/xbox-one/ori-and-the-blind-forest-definitive-edition;88;
Xbox One;Dishonored 2;https://www.metacritic.com/game/xbox-one/dishonored-2;88;
Xbox One;The Banner Saga 3;https://www.metacritic.com/game/xbox-one/the-banner-saga-3;88;
Xbox One;DOOM Eternal;https://www.metacritic.com/game/xbox-one/doom-eternal;88;
Xbox One;Minecraft: Xbox One Edition;https://www.metacritic.com/game/xbox-one/minecraft-xbox-one-edition;88;
Xbox One;Guacamelee! Super Turbo Championship Edition;https://www.metacritic.com/game/xbox-one/guacamelee!-super-turbo-championship-edition;88;
Xbox One;Tony Hawk's Pro Skater 1 + 2;https://www.metacritic.com/game/xbox-one/tony-hawks-pro-skater-1-+-2;88;
Xbox One;Manifold Garden;https://www.metacritic.com/game/xbox-one/manifold-garden;88;
Xbox One;Ori and the Blind Forest;https://www.metacritic.com/game/xbox-one/ori-and-the-blind-forest;88;
Xbox One;Yakuza Kiwami 2;https://www.metacritic.com/game/xbox-one/yakuza-kiwami-2;88;
Xbox One;Apex Legends;https://www.metacritic.com/game/xbox-one/apex-legends;88;
Xbox One;Tales from the Borderlands: A Telltale Game Series;https://www.metacritic.com/game/xbox-one/tales-from-the-borderlands-a-telltale-game-series;88;
Xbox One;Hellblade: Senua's Sacrifice;https://www.metacritic.com/game/xbox-one/hellblade-senuas-sacrifice;88;
Xbox One;Kingdom Hearts HD I.5 + II.5 Remix;https://www.metacritic.com/game/xbox-one/kingdom-hearts-hd-i5-+-ii5-remix;88;
Xbox One;Devil May Cry 5;https://www.metacritic.com/game/xbox-one/devil-may-cry-5;87;
Xbox One;Middle-earth: Shadow of Mordor;https://www.metacritic.com/game/xbox-one/middle-earth-shadow-of-mordor;87;
Xbox One;DOOM;https://www.metacritic.com/game/xbox-one/doom;87;
Xbox One;Battlefield 1;https://www.metacritic.com/game/xbox-one/battlefield-1;87;
Xbox One;Dark Souls III;https://www.metacritic.com/game/xbox-one/dark-souls-iii;87;
Xbox One;Kingdom: New Lands;https://www.metacritic.com/game/xbox-one/kingdom-new-lands;87;
Xbox One;Assassin's Creed Odyssey;https://www.metacritic.com/game/xbox-one/assassins-creed-odyssey;87;
Xbox One;Donut County;https://www.metacritic.com/game/xbox-one/donut-county;87;
Xbox One;Forza Motorsport 6;https://www.metacritic.com/game/xbox-one/forza-motorsport-6;87;
Xbox One;Rocket League;https://www.metacritic.com/game/xbox-one/rocket-league;87;
Xbox One;Kentucky Route Zero: TV Edition;https://www.metacritic.com/game/xbox-one/kentucky-route-zero-tv-edition;87;
Xbox One;Pro Evolution Soccer 2017;https://www.metacritic.com/game/xbox-one/pro-evolution-soccer-2017;87;
Xbox One;Titanfall 2;https://www.metacritic.com/game/xbox-one/titanfall-2;87;
Xbox One;Huntdown;https://www.metacritic.com/game/xbox-one/huntdown;87;
Xbox One;Destiny 2;https://www.metacritic.com/game/xbox-one/destiny-2;87;
Xbox One;Forza Horizon 3: Blizzard Mountain;https://www.metacritic.com/game/xbox-one/forza-horizon-3-blizzard-mountain;87;
Xbox One;Insane Robots;https://www.metacritic.com/game/xbox-one/insane-robots;87;
Xbox One;XCOM 2;https://www.metacritic.com/game/xbox-one/xcom-2;87;
Xbox One;Forza Horizon 3: Hot Wheels;https://www.metacritic.com/game/xbox-one/forza-horizon-3-hot-wheels;87;
Xbox One;Okami HD;https://www.metacritic.com/game/xbox-one/okami-hd;87;
Xbox One;For the King;https://www.metacritic.com/game/xbox-one/for-the-king;87;
Xbox One;Thumper;https://www.metacritic.com/game/xbox-one/thumper;86;
Xbox One;The Witness;https://www.metacritic.com/game/xbox-one/the-witness;86;
Xbox One;Fell Seal: Arbiter's Mark;https://www.metacritic.com/game/xbox-one/fell-seal-arbiters-mark;86;
Xbox One;DiRT Rally;https://www.metacritic.com/game/xbox-one/dirt-rally;86;
Xbox One;Sid Meier's Civilization VI;https://www.metacritic.com/game/xbox-one/sid-meiers-civilization-vi;86;
Xbox One;Cuphead;https://www.metacritic.com/game/xbox-one/cuphead;86;
Xbox One;Killer Instinct Season 3;https://www.metacritic.com/game/xbox-one/killer-instinct-season-3;86;
Xbox One;Shovel Knight;https://www.metacritic.com/game/xbox-one/shovel-knight;86;
Xbox One;Pillars of Eternity: Complete Edition;https://www.metacritic.com/game/xbox-one/pillars-of-eternity-complete-edition;86;
Xbox One;NBA 2K14;https://www.metacritic.com/game/xbox-one/nba-2k14;86;
Xbox One;DmC: Devil May Cry Definitive Edition;https://www.metacritic.com/game/xbox-one/dmc-devil-may-cry-definitive-edition;86;
Xbox One;Sky Force Reloaded;https://www.metacritic.com/game/xbox-one/sky-force-reloaded;86;
Xbox One;NBA 2K16;https://www.metacritic.com/game/xbox-one/nba-2k16;86;
Xbox One;Titanfall;https://www.metacritic.com/game/xbox-one/titanfall;86;
Xbox One;Diablo III: Ultimate Evil Edition;https://www.metacritic.com/game/xbox-one/diablo-iii-ultimate-evil-edition;86;
Xbox One;Resident Evil 7: biohazard;https://www.metacritic.com/game/xbox-one/resident-evil-7-biohazard;86;
Xbox One;Killer Instinct: Definitive Edition;https://www.metacritic.com/game/xbox-one/killer-instinct-definitive-edition;86;
Xbox One;Dragon Ball FighterZ;https://www.metacritic.com/game/xbox-one/dragon-ball-fighterz;86;
Xbox One;Destiny 2: Forsaken;https://www.metacritic.com/game/xbox-one/destiny-2-forsaken;86;
Xbox One;Mega Man X Legacy Collection;https://www.metacritic.com/game/xbox-one/mega-man-x-legacy-collection;86;
Xbox One;Oddworld: Abe's Oddysee - New 'n' Tasty;https://www.metacritic.com/game/xbox-one/oddworld-abes-oddysee---new-n-tasty;86;
Xbox One;Tomb Raider: Definitive Edition;https://www.metacritic.com/game/xbox-one/tomb-raider-definitive-edition;86;
PlayStation 4;Red Dead Redemption 2;https://www.metacritic.com/game/playstation-4/red-dead-redemption-2;97;
PlayStation 4;Grand Theft Auto V;https://www.metacritic.com/game/playstation-4/grand-theft-auto-v;97;
PlayStation 4;Persona 5 Royal;https://www.metacritic.com/game/playstation-4/persona-5-royal;95;
PlayStation 4;The Last of Us Remastered;https://www.metacritic.com/game/playstation-4/the-last-of-us-remastered;95;
PlayStation 4;God of War;https://www.metacritic.com/game/playstation-4/god-of-war;94;
PlayStation 4;XCOM 2: War of the Chosen;https://www.metacritic.com/game/playstation-4/xcom-2-war-of-the-chosen;93;
PlayStation 4;The Last of Us Part II;https://www.metacritic.com/game/playstation-4/the-last-of-us-part-ii;93;
PlayStation 4;Persona 5;https://www.metacritic.com/game/playstation-4/persona-5;93;
PlayStation 4;Metal Gear Solid V: The Phantom Pain;https://www.metacritic.com/game/playstation-4/metal-gear-solid-v-the-phantom-pain;93;
PlayStation 4;Uncharted 4: A Thief's End;https://www.metacritic.com/game/playstation-4/uncharted-4-a-thiefs-end;93;
PlayStation 4;Journey;https://www.metacritic.com/game/playstation-4/journey;92;
PlayStation 4;Bloodborne;https://www.metacritic.com/game/playstation-4/bloodborne;92;
PlayStation 4;Undertale;https://www.metacritic.com/game/playstation-4/undertale;92;
PlayStation 4;The Witcher 3: Wild Hunt;https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt;92;
PlayStation 4;Divinity: Original Sin II - Definitive Edition;https://www.metacritic.com/game/playstation-4/divinity-original-sin-ii---definitive-edition;92;
PlayStation 4;Final Fantasy XIV: Shadowbringers;https://www.metacritic.com/game/playstation-4/final-fantasy-xiv-shadowbringers;91;
PlayStation 4;Shadow of the Colossus;https://www.metacritic.com/game/playstation-4/shadow-of-the-colossus;91;
PlayStation 4;The Witcher 3: Wild Hunt - Blood and Wine;https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt---blood-and-wine;91;
PlayStation 4;Celeste;https://www.metacritic.com/game/playstation-4/celeste;91;
PlayStation 4;INSIDE;https://www.metacritic.com/game/playstation-4/inside;91;
PlayStation 4;NieR: Automata - Game of the YoRHa Edition;https://www.metacritic.com/game/playstation-4/nier-automata---game-of-the-yorha-edition;91;
PlayStation 4;Resident Evil 2;https://www.metacritic.com/game/playstation-4/resident-evil-2;91;
PlayStation 4;flower;https://www.metacritic.com/game/playstation-4/flower;91;
PlayStation 4;Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition;https://www.metacritic.com/game/playstation-4/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition;91;
PlayStation 4;Diablo III: Ultimate Evil Edition;https://www.metacritic.com/game/playstation-4/diablo-iii-ultimate-evil-edition;90;
PlayStation 4;Overwatch;https://www.metacritic.com/game/playstation-4/overwatch;90;
PlayStation 4;Shovel Knight;https://www.metacritic.com/game/playstation-4/shovel-knight;90;
PlayStation 4;Rayman Legends;https://www.metacritic.com/game/playstation-4/rayman-legends;90;
PlayStation 4;Mortal Kombat 11 Ultimate;https://www.metacritic.com/game/playstation-4/mortal-kombat-11-ultimate;90;
PlayStation 4;Fez;https://www.metacritic.com/game/playstation-4/fez;90;
PlayStation 4;Monster Hunter: World;https://www.metacritic.com/game/playstation-4/monster-hunter-world;90;
PlayStation 4;Tales From The Borderlands: Episode 5 - The Vault of the Traveler;https://www.metacritic.com/game/playstation-4/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler;90;
PlayStation 4;The Witcher 3: Wild Hunt - Hearts of Stone;https://www.metacritic.com/game/playstation-4/the-witcher-3-wild-hunt---hearts-of-stone;90;
PlayStation 4;Sekiro: Shadows Die Twice;https://www.metacritic.com/game/playstation-4/sekiro-shadows-die-twice;90;
PlayStation 4;Astro Bot: Rescue Mission;https://www.metacritic.com/game/playstation-4/astro-bot-rescue-mission;90;
PlayStation 4;Monster Hunter: World - Iceborne;https://www.metacritic.com/game/playstation-4/monster-hunter-world---iceborne;89;
PlayStation 4;Rez Infinite;https://www.metacritic.com/game/playstation-4/rez-infinite;89;
PlayStation 4;Mega Man X Legacy Collection;https://www.metacritic.com/game/playstation-4/mega-man-x-legacy-collection;89;
PlayStation 4;Titanfall 2;https://www.metacritic.com/game/playstation-4/titanfall-2;89;
PlayStation 4;Dark Souls III;https://www.metacritic.com/game/playstation-4/dark-souls-iii;89;
PlayStation 4;Tetris Effect;https://www.metacritic.com/game/playstation-4/tetris-effect;89;
PlayStation 4;Final Fantasy XIV: Stormblood;https://www.metacritic.com/game/playstation-4/final-fantasy-xiv-stormblood;89;
PlayStation 4;Bastion;https://www.metacritic.com/game/playstation-4/bastion;89;
PlayStation 4;Apex Legends;https://www.metacritic.com/game/playstation-4/apex-legends;89;
PlayStation 4;Dreams;https://www.metacritic.com/game/playstation-4/dreams;89;
